model_key;size_gb;arch_display;is_moe;n_layers;hidden_dim;n_heads;n_kv_heads;n_experts;n_active_experts;num_parallel_reg;num_parallel_cfg;k_cache_reg;v_cache_reg;k_cache_cfg;v_cache_cfg;kv_bytes_per_element;use_unified_kv_reg;use_unified_kv_cfg;offload_reg;offload_cfg;context_length_reg;context_length_cfg;cfg_vs_reg_ratio;kv_cache_reg_gb;max_context_length_native;template;reasoning
openai/gpt-oss-20b;12.11;moe;Y;24;2880;;;;;4;4;f16;f16;fp16;fp16;4.0;True;True;1.0;1.0;98304;16384;0.17;217.43;131072;gpt-oss-20b_harmony.jinja;thinking
unsloth/phi-4;10.41;dense;N;40;5120;;;;;1;1;q8_0;iq4_nl;;;1.5;True;True;1.0;1.0;98304;7342;0.07;60.4;16384;;thinking
unsloth/devstral-small-2-24b-instruct-2512;12.16;dense;N;40;5120;;;;;1;1;q5_1;iq4_nl;q5_1;iq4_nl;1.125;True;True;1.0;1.0;65536;90112;1.38;30.2;393216;;instruct
unsloth/ernie-4.5-21b-a3b-pt@iq4_nl;12.48;moe;Y;28;2560;;;;;4;4;q5_1;q4_nl;q8_0;q5_1;2.625;True;True;1.0;1.0;45371;3030;0.07;68.3;131072;;instruct
tiiuae/falcon3-10b-instruct;10.96;dense;N;40;3072;;;;;1;1;q8_0;iq4_nl;;;1.5;True;True;1.0;1.0;98304;11785;0.12;36.24;32768;;instruct
mradermacher/gemma-4-19b-a4b-it-reap-i1@q4_k_m;12.53;moe;Y;30;2816;;;;;4;4;f16;f16;q8_0;q5_1;4.0;True;True;1.0;1.0;18432;8192;0.44;49.83;262144;gemma4-19b-template_minijinja.jinja;thinking
mradermacher/gemma-4-26b-a4b-it-i1@iq4_xs;13.92;moe;Y;30;2816;;;;;4;4;f16;f16;;;4.0;True;True;1.0;1.0;12288;2048;0.17;33.22;262144;;thinking
bartowski/google_gemma-4-26b-a4b-it@q3_k_s;0;moe;Y;30;2816;;;;;4;4;f16;f16;iq4_nl;q8_0;4.0;True;True;1.0;1.0;16384;2048;0.12;44.29;262144;gemma4-26b-template_minijinja.jinja;thinking
unsloth/gemma-4-26b-a4b-it@iq3_s;13.58;moe;Y;30;2816;;;;;4;4;fp16;fp16;;;4.0;True;True;1.0;1.0;8192;2048;0.25;22.15;;;thinking
ibm-granite/granite-4.0-h-tiny;7.39;moe;Y;40;1536;;;;;4;4;q8_0;q5_1;q8_0;q5_1;1.625;True;True;1.0;1.0;241979;480000;1.98;193.27;1048576;granite-4.0-h-tiny_template.jinja;instruct
ibm-granite/granite-4.1-30b;12.57;dense;N;64;4096;;;;;1;1;q5_1;iq4_nl;q5_1;iq4_nl;1.125;True;True;1.0;1.0;65536;49152;0.75;38.65;131072;granite-4.1-30b_template.jinja;instruct
unsloth/januscoder-14b;12.12;dense;N;40;5120;;;;;1;1;q8_0;q5_1;q8_0;q8_0;1.625;True;True;1.0;1.0;32768;4774;0.15;21.81;32768;;instruct
jetbrains/mellum2-12b-a2.5b-instruct;8.07;moe;Y;28;2304;;;;;4;4;q8_0;q5_1;q8_0;q5_1;1.625;True;True;1.0;1.0;241979;8619;0.04;202.94;131072;;instruct
lmstudio-community/ministral-3-14b-instruct-2512;11.97;dense;N;40;5120;;;;;1;1;q5_1;iq4_nl;q5_1;iq4_nl;1.125;True;True;1.0;1.0;87381;65536;0.75;40.27;262144;;thinking
mradermacher/kimi-linear-reap-35b-a3b-instruct.i1;13.62;moe;Y;27;2304;;;;;4;4;q8_0;q5_1;q8_0;q5_1;1.625;True;True;1.0;1.0;30247;262144;8.67;24.46;1048576;;thinking
mradermacher/nemotron-cascade-14b-thinking;10.51;dense;N;40;5120;;;;;1;1;q8_0;q5_1;q8_0;q5_1;1.625;True;True;1.0;1.0;90742;98304;1.08;60.4;131072;;thinking
unsloth/qwen3-30b-a3b-instruct-2507;13.29;moe;Y;48;2048;;;;;4;4;q5_1;iq4_nl;q5_1;iq4_nl;1.125;True;True;1.0;1.0;43690;65536;1.5;38.65;262144;;instruct
unsloth/qwen3-coder-30b-a3b-instruct;13.29;moe;Y;48;2048;;;;;4;4;q5_1;iq4_nl;q5_1;iq4_nl;1.125;True;True;1.0;1.0;43690;65536;1.5;38.65;262144;;instruct
mradermacher/qwen3-coder-reap-25b-a3b-i1;12.0;moe;Y;48;2048;;;;;4;4;q5_1;iq4_nl;q8_0;q5_1;1.125;True;True;1.0;1.0;65536;3725;0.06;57.98;262144;;thinking
mradermacher/qwen3-coder-reap-25b-a3b;12.0;moe;Y;48;2048;;;;;4;4;q5_1;iq4_nl;q5_1;iq4_nl;1.125;True;True;1.0;1.0;65536;90112;1.38;57.98;262144;;thinking
unsloth/north-mini-code-1.0;12.77;moe;Y;49;2048;;;;;4;4;q8_0;iq4_nl;q5_1;iq4_nl;1.5;True;True;1.0;1.0;49152;262144;5.33;59.19;500000;;instruct
qwen/qwen2.5-coder-14b-instruct@q5_0;10.27;dense;N;48;5120;;;;;1;1;q5_1;iq4_nl;q5_1;iq4_nl;1.125;False;False;1;1;131072;65536;0.5;72.48;131072;;instruct
qwen/qwen2.5-coder-14b-instruct@q5_k_m;10.51;dense;N;48;5120;;;;;1;1;q5_1;iq4_nl;q5_1;iq4_nl;1.125;False;False;1.0;1;131072;65536;0.5;72.48;131072;;instruct
qwen/qwen2.5-coder-14b-instruct@q6_k;12.12;dense;N;48;5120;;;;;1;1;q5_1;iq4_nl;q5_1;iq4_nl;1.125;False;False;1;1;65536;65536;1.0;36.24;131072;;instruct
Qwen/Qwen3.5-9B-GGUF@q6_k;8.28;dense;N;32;4096;;;;;1;1;q5_1;q8_0;q5_1;q8_0;1.625;True;False;1.0;1.0;32768;32768;1.0;13.96;;;thinking
unsloth/qwen3.6-27b;14.2;dense;N;64;5120;;;;;1;1;q5_1;iq4_nl;q5_1;iq4_nl;1.125;True;True;1.0;1.0;21845;16384;0.75;16.11;262144;;thinking
unsloth/qwen3.6-27b-mtp;14.42;mtp;N;65;5120;;;;;4;4;q5_1;iq4_nl;q5_1;iq4_nl;1.125;True;True;1.0;1.0;21845;16384;0.75;65.43;262144;;thinking
mradermacher/qwen3.6-27b-i1;12.07;dense;N;64;5120;;;;;4;4;q8_0;iq4_nl;q5_1;iq4_nl;1.5;True;True;1.0;1.0;49152;98304;2.0;193.27;262144;;thinking
mradermacher/qwen3.6-28b-reap-i1@iq3_s;12.48;moe;Y;40;2048;;;;;4;4;q8_0;iq4_nl;q8_0;iq4_nl;1.5;True;False;1.0;1.0;49152;32768;0.67;48.32;262144;;thinking
mradermacher/qwen3.6-28b-reap-i1@q3_k_s;12.41;moe;Y;40;2048;;;;;4;4;q8_0;iq4_nl;q8_0;iq4_nl;1.5;False;False;1.0;1.0;49152;32768;0.67;48.32;262144;;thinking
bartowski/mistralai_magistral-small-2509;11.47;dense;N;40;5120;;;;;1;1;q5_1;iq4_nl;q5_1;iq4_nl;1.125;True;True;1.0;1.0;87381;98304;1.13;40.27;131072;;thinking
lmstudio-community/deepseek-r1-distill-qwen-14b;12.12;dense;N;48;5120;;;;;1;1;q8_0;q5_1;q5_1;iq4_nl;1.625;True;True;1.0;1.0;45371;16384;0.36;36.24;131072;;instruct
vinpix/ternary-bonsai-27b-stock-mtp@tq2_0;8.79;mtp;N;65;5120;;;;;4;1;q8_0;q8_0;q8_0;q8_0;2.0;True;True;1.0;1.0;196000;196000;1.0;1043.66;262144;;thinking
vinpix/ternary-bonsai-27b-stock-mtp@q2_k;10.49;mtp;N;65;5120;;;;;4;1;q8_0;q8_0;q8_0;q8_0;2.0;True;True;1.0;1.0;32536;196000;6.02;173.25;262144;;thinking
prism-ml/bonsai-27b@q1_0;4.73;dense;N;64;5120;;;;;1;1;q8_0;q8_0;q8_0;q8_0;2.0;False;True;1.0;1.0;262144;196000;0.75;343.6;262144;;thinking
lmstudio-community/deepseek-coder-v2-lite-instruct;11.85;moe;Y;27;2048;;;;;4;4;q8_0;iq4_nl;q8_0;q5_1;1.5;True;True;1.0;1.0;65536;16384;0.25;43.49;163840;;instruct
lmstudio-community/internlm2-math-plus-20b;11.98;dense;N;48;6144;;;;;1;1;q8_0;iq4_nl;f16;f16;1.5;True;True;1.0;1.0;8192;;;7.25;8192;;instruct
google/gemma-4-12b-it-qat;7.15;dense;N;48;3840;;;;;4;4;q8_0;iq4_nl;;;1.5;True;True;1.0;1.0;262144;32536;0.12;579.82;262144;;thinking
quietimpostor/nemotron-3-nano-reap-21b-a3b;12.12;moe;Y;52;2688;;;;;4;4;q8_0;iq4_nl;q5_1;iq4_nl;1.5;True;True;1.0;1.0;12288;98304;8.0;20.61;1048576;;instruct
intel/qwen3-30b-a3b-instruct-2507-q2ks-mixed-autoround;10.74;moe;Y;48;2048;;;;;4;4;q8_0;iq4_nl;q5_1;iq4_nl;1.5;True;True;1.0;1.0;24576;131072;5.33;28.99;262144;;instruct
intel/qwen3-30b-a3b-thinking-2507-q2ks-mixed-autoround;10.74;moe;Y;48;2048;;;;;4;4;q8_0;iq4_nl;q5_1;iq4_nl;1.5;True;True;1.0;1.0;24576;131072;5.33;28.99;262144;;thinking
intel/qwen3-coder-30b-a3b-instruct-q2ks-mixed-autoround;10.74;moe;Y;48;2048;;;;;4;4;q8_0;iq4_nl;q5_1;iq4_nl;1.5;True;True;1.0;1.0;24576;131072;5.33;28.99;262144;;instruct
intel/mirothinker-v1.5-30b-q2ks-mixed-autoround;10.74;moe;Y;48;2048;;;;;4;4;q8_0;iq4_nl;q5_1;iq4_nl;1.5;True;True;1.0;1.0;24576;32536;1.32;28.99;262144;;thinking
noctrex/ernie-4.5-21b-a3b-pt_moe@mxfp4;12.38;moe;Y;28;2560;;;;;4;4;q8_0;iq4_nl;q8_0;q5_1;1.5;True;True;1.0;1.0;12288;3030;0.25;10.57;;;instruct
jetbrains/mellum2-12b-a2.5b-thinking_moe;7.03;moe;Y;28;2304;;;;;4;4;q8_0;iq4_nl;q8_0;q5_1;1.5;True;True;1.0;1.0;262144;131072;0.5;202.94;;;instruct
noctrex/lfm2-24b-a2b_moe;13.28;moe;Y;40;2048;;;;;4;4;q8_0;iq4_nl;q5_1;iq4_nl;1.5;True;True;1.0;1.0;8192;128000;15.62;8.05;;;instruct
